id,file,background,fur,style,rarity
0085,LION_0085_FUR-ICE_EYES-ORANGE_STYLE-SCIENTIST.png,rouge,Ice Blue,Scientist,Uncommon
0086,LION_0086_FUR-PURPLE_EYES-AMBER_STYLE-FOOTBALLER.png,vert,Purple,Footballer,Common
0087,LION_0087_FUR-GREY_EYES-BLACKSHINE_STYLE-NURSE.png,bleu,Silver Grey,Nurse,Common
0088,LION_0088_FUR-RED_EYES-VIOLET_STYLE-ZOMBIE.png,vert,Red,Zombie,Common
0089,LION_0089_FUR-GREY_EYES-EMERALD_STYLE-SHAMAN.png,bleu,Silver Grey,Shaman,Common
0090,LION_0090_FUR-ICE_EYES-FLAME_STYLE-MECHANIC.png,rouge,Ice Blue,Mechanic,Rare
0091,LION_0091_FUR-RED_EYES-AMBER_STYLE-RASTA.png,vert,Red,Rasta,Common
0092,LION_0092_FUR-GREEN_EYES-AMBER_STYLE-ARCHER.png,rouge,Green,Archer,Uncommon
0093,LION_0093_FUR-ICE_EYES-SKYBLUE_STYLE-BANKER.png,rouge,Ice Blue,Banker,Common
0094,LION_0094_FUR-RED_EYES-TURQUOISE_STYLE-MASON.png,vert,Red,Mason,Uncommon
0095,LION_0095_FUR-GREEN_EYES-ICEBLUE_STYLE-MAGICIAN.png,rouge,Green,Stage Magician,Rare
0096,LION_0096_FUR-WHITE_EYES-YELLOW_STYLE-PIRATE.png,bleu,Pure White,Pirate,Uncommon
0097,LION_0097_FUR-RED_EYES-FLAME_STYLE-SURFER.png,vert,Red,Surfer,Uncommon
0098,LION_0098_FUR-ICE_EYES-ICEBLUE_STYLE-BANKER.png,rouge,Ice Blue,Banker,Common
0099,LION_0099_FUR-ICE_EYES-AMBER_STYLE-DJ.png,rouge,Ice Blue,DJ,Common
0100,LION_0100_FUR-GREY_EYES-EMERALD_STYLE-MAFIA.png,bleu,Silver Grey,Mafia Boss,Common
0101,LION_0101_FUR-WHITE_EYES-GOLD_STYLE-KING.png,or_legendary,Pure White,King,Legendary
